concept,keep,part_group,exact_parts,rationale
a white crown,True,crown,crown,Directly describes the crown.
eyes are yellow,True,eye,left eye|right eye,Directly describes the eyes.
"long, white legs",True,leg,left leg|right leg,Directly describes the legs.
a brown or bronzy plumage,False,,,"Describes overall plumage, not one supported part."
orange-yellow legs,True,leg,left leg|right leg,Directly describes the legs.
a black stripe down its neck,False,,,Neck does not map cleanly to one supported part.
a grayish-brown head,False,,,Head is not a supported coarse part.
"a hard, crystalline structure",False,,,Not a bird part annotation concept.
iridescent blue-green back,True,back,back,Directly describes the back.
dark streaks on the breast,True,breast,breast,Directly describes the breast.
grey sides,False,,,Sides is not a supported coarse part.
brown and white feathers,False,,,Feathers are general and not one supported part.
"a broad, round beak",True,beak,beak,Directly describes the beak.
pale pink legs,True,leg,left leg|right leg,Directly describes the legs.
green plumage,False,,,"Describes overall plumage, not one supported part."
a brown or gray back,True,back,back,Directly describes the back.
white body with gray wings,False,,,"Combines unsupported body with wing, so not one part."
black and white tail feathers,True,tail,tail,Directly describes the tail.
white undersides,False,,,"Undersides is a vague multi-part region, not one supported part."
a small bill,True,beak,beak,Bill maps cleanly to beak.
a gray head,False,,,"Head spans multiple supported parts, not one coarse part."
"short, dark legs",True,leg,left leg|right leg,Directly describes the legs.
"long, thin legs",True,leg,left leg|right leg,Directly describes the legs.
a white body with gray wings,False,,,"Refers to body plus wings, so multiple parts."
green and white plumage,False,,,"Plumage is whole-bird coloration, not one supported part."
a black or dark grey plumage,False,,,"Plumage is whole-bird coloration, not one supported part."
yellowish upperparts,False,,,Upperparts is a vague multi-part region.
a long tail with a black tip,True,tail,tail,Primarily describes the tail.
beak and legs are black,False,,,Describes multiple supported parts at once.
orange throat,True,throat,throat,Directly describes the throat.
a large body,False,,,Body is unsupported and too broad.
white undertail feathers,True,tail,tail,Undertail feathers align to the tail region.
iridescent black feathers,False,,,"Feathers is generic whole-plumage description, not one part."
a grayish-brown body,False,,,Body is unsupported and too broad.
a green back,True,back,back,Directly describes the back.
a pointed beak,True,beak,beak,Directly describes the beak.
a red belly,True,belly,belly,Directly describes the belly.
"a short, black bill",True,beak,beak,Bill maps cleanly to beak.
"a long, narrow tail",True,tail,tail,Directly describes the tail.
"a glossy, black plumage",False,,,"Plumage is a global trait, not one supported part."
a small black bill,True,beak,beak,Bill maps cleanly to beak.
"a small, blue bird",False,,,"Describes the whole bird, not one part."
a dark gray back,True,back,back,Directly describes the back.
"a small, sleek body",False,,,Body is unsupported and shape-like.
shape,False,,,"Abstract trait, not a localizable supported part."
"a long, deeply forked tail",True,tail,tail,Directly describes the tail.
white undertail coverts,True,tail,tail,Undertail coverts align best with the tail region.
a white body,False,,,Body is unsupported and too broad.
brown streaks on the sides,False,,,"Sides is a vague body region, not one supported part."
shaggy appearance,False,,,Appearance is abstract and not tied to one supported part.
"a long, snake-like neck",False,,,Neck is not a supported coarse part group.
a black stripe on the wing,True,wing,left wing|right wing,Primarily describes the wing.
"a long, notched tail",True,tail,tail,Directly describes the tail.
white stripes above the eyes,False,,,"Above the eyes maps to forehead/supercilium ambiguously, so not clean."
black streaks on the sides,False,,,"Sides is a vague body region, not one supported part."
two red eyes,True,eye,left eye|right eye,Directly describes the eyes.
white plumage,False,,,"Plumage is whole-bird coloration, not one supported part."
a grayish-white body,False,,,Body is unsupported and too broad.
a black bill with a yellow tip,True,beak,beak,Bill maps cleanly to beak.
"a long, thin neck",False,,,Neck is not a supported coarse part group.
red eyes,True,eye,left eye|right eye,Directly describes the eyes.
a gray breast,True,breast,breast,Directly describes the breast.
yellowish stripes on the wings,True,wing,left wing|right wing,Primarily describes the wings.
grayish-white underparts,False,,,Underparts is a vague multi-part region.
"a thin, black bill",True,beak,beak,Bill maps cleanly to beak.
"a long, pointed wings",True,wing,left wing|right wing,Directly describes the wings.
a black crescent on the breast,True,breast,breast,Primarily describes the breast.
a reddish-brown body,False,,,"Describes the whole body, not one supported part."
yellow wings with black bars,True,wing,left wing|right wing,Primarily describes the wings.
"a long, pointed beak",True,beak,beak,Directly describes the beak.
"a large, orange bill",True,beak,beak,Bill maps cleanly to beak.
"a small, blackbird-like bird",False,,,"Describes overall bird type/size, not a supported part."
"a long, pointed tail",True,tail,tail,Directly describes the tail.
brownish wings with white bars,True,wing,left wing|right wing,Primarily describes the wings.
a purple-red head and breast,False,,,Refers to multiple parts and includes unsupported head.
a black band across its eyes,True,eye,left eye|right eye,Centered on the eye region.
a red cap on the head,True,crown,crown,Cap maps to crown.
a yellow eyebrow,False,,,Eyebrow is not a supported part annotation.
"a small, forked tail",True,tail,tail,Directly describes the tail.
a black cap and bib,False,,,Refers to multiple parts: crown and throat/breast region.
A black body,False,,,Body is too broad and unsupported.
a raucous voice,False,,,"Behavioral/acoustic trait, not a part."
a brownish-gray color,False,,,Global color trait without a specific part.
a yellow crown,True,crown,crown,Directly describes the crown.
a black and white body,False,,,Body is too broad and unsupported.
a small bird,False,,,"Overall size, not a part."
"a small, greenish-gray bird",False,,,"Overall bird description, not a supported part."
orange feet,False,,,Feet are not a supported part group.
"a small, plump bird",False,,,"Overall body shape/size, not a part."
"a black head, back, and tail",False,,,Refers to multiple parts and unsupported head.
a whitish throat,True,throat,throat,Directly describes the throat.
a bright green back,True,back,back,Directly describes the back.
"a long, brown tail",True,tail,tail,Directly describes the tail.
a white stripe on the tail,True,tail,tail,Directly localizable to the tail.
a black collar,False,,,"Collar is an ambiguous neck region, not a supported part."
white belly,True,belly,belly,Directly describes the belly.
a loud cawing sound,False,,,"Behavioral/acoustic trait, not a part."
yellow wings,True,wing,left wing|right wing,Directly describes the wings.
a grey back,True,back,back,Directly describes the back.
yellow beak,True,beak,beak,Directly describes the beak.
"long, narrow wings",True,wing,left wing|right wing,Directly describes the wings.
a medium-sized duck,False,,,"Overall animal type/size, not a part."
"a small, blue-green body",False,,,Body is too broad and unsupported.
"a small, rounded body",False,,,"Body shape, not a supported part."
white belly and undertail,False,,,"Refers to multiple regions, one unsupported as stated."
a medium-sized bird,False,,,"Overall size, not a part."
orange or yellow eyes,True,eye,left eye|right eye,Directly describes the eyes.
a black bill,True,beak,beak,Bill maps cleanly to beak.
large wingspan,False,,,"Global size measurement, not a localized part annotation."
a white belly,True,belly,belly,Directly describes the belly.
a black or dark gray color,False,,,Global color trait without a specific part.
grayish upperparts,False,,,Upperparts is a vague multi-part region.
"a long, slender body",False,,,"Body shape, not a supported part."
a black and white barred tail,True,tail,tail,Directly describes the tail.
a yellow body with black wings,False,,,Refers to multiple parts and includes unsupported body.
a black hood and back,False,,,Refers to multiple parts and hood is unsupported.
a stocky body,False,,,"Body shape, not a supported part."
"a long, pointed bill",True,beak,beak,Bill maps cleanly to beak.
All-dark plumage,False,,,"Describes overall plumage, not one supported part."
brown upperparts,False,,,Upperparts is a vague multi-part region.
"a small, slender body",False,,,Body is not a supported single part.
"long, brown wings",True,wing,left wing|right wing,Directly describes the wings.
large eyes,True,eye,left eye|right eye,Directly describes the eyes.
a thick bill,True,beak,beak,Bill maps cleanly to beak.
yellowish sides and flanks,False,,,Sides and flanks do not map cleanly to one supported part.
greenish upperparts,False,,,Upperparts is a vague multi-part region.
a thin beak,True,beak,beak,Directly describes the beak.
a black and white coloring,False,,,"Global color pattern, not one localized part."
a long bill,True,beak,beak,Bill maps cleanly to beak.
"a small, dark body",False,,,Body is not a supported single part.
a wingspan of about 3 feet,False,,,"Overall size measurement, not a localized part annotation."
black legs,True,leg,left leg|right leg,Directly describes the legs.
a seabird,False,,,"Taxonomic/ecological description, not a part."
a pale grayish-white underbody,False,,,"Underbody is a vague region, not one supported part."
"a large, red breast",True,breast,breast,Directly describes the breast.
black wingtips,False,,,Wingtips are too specific relative to whole wing annotation.
"a long, hooked bill",True,beak,beak,Bill maps cleanly to beak.
a stout body,False,,,Body is not a supported single part.
a small tail,True,tail,tail,Directly describes the tail.
large black bird,False,,,"Whole-bird description, not one supported part."
"a slender, white body",False,,,Body is not a supported single part.
a bright orange breast,True,breast,breast,Directly describes the breast.
pale blue-gray upperparts,False,,,Upperparts is a vague multi-part region.
a gray back,True,back,back,Directly describes the back.
a white throat,True,throat,throat,Directly describes the throat.
a black crest on the head,False,,,Crest/head does not map cleanly to a supported part.
a greenish back,True,back,back,Directly describes the back.
white stripes on the wings,True,wing,left wing|right wing,Describes markings on the wings.
"a long, black bill",True,beak,beak,Bill maps cleanly to beak.
a black breast,True,breast,breast,Directly describes the breast.
"long, black wingtips",False,,,Wingtips are too specific relative to whole wing annotation.
"a long, curved bill",True,beak,beak,Bill maps cleanly to beak.
"a stout, conical bill",True,beak,beak,Bill maps cleanly to beak.
a green tail with a white edge,True,tail,tail,Primarily describes the tail.
"a small, conical beak",True,beak,beak,Directly describes the beak.
red feathers,False,,,Feathers are not a single supported localized part.
a slimmer body than most crows,False,,,Body/overall build is not a supported part.
a red spot on the beak,True,beak,beak,Localized on the beak.
a pointed bill,True,beak,beak,Bill maps cleanly to beak.
a red cap on the male,False,,,Cap does not map cleanly to crown/forehead annotation.
dark blue-black upperparts,False,,,Upperparts is a vague multi-part region.
a long body,False,,,Body is not a supported single part.
a gray body,False,,,Body is not a supported single part.
a black patch on the breast,True,breast,breast,Localized on the breast.
a small to medium-sized bird,False,,,"Overall size of the bird, not a part."
"short, yellow legs",True,leg,left leg|right leg,Directly describes the legs.
a tail with white bars,True,tail,tail,Localized pattern on the tail.
dark gray or black upperparts,False,,,"""Upperparts"" is a vague multi-part region, not one supported part."
black and orange plumage,False,,,"Describes overall plumage coloration, not a single supported part."
white sides,False,,,"""Sides"" is not a supported coarse part group."
a brown cap,True,crown,crown,"""Cap"" maps cleanly to the crown."
a white underbelly,True,belly,belly,Underbelly maps to the belly.
brown wings,True,wing,left wing|right wing,Directly describes the wings.
a yellow or orange beak,True,beak,beak,Direct match to beak.
streaks of white on its wings,True,wing,left wing|right wing,Describes coloration on the wings.
gray feathers,False,,,Too general; feathers are not one supported part.
"silky, brown feathers",False,,,"Too general and partly texture-based, not one supported part."
"a long, curved tail",True,tail,tail,Directly describes the tail.
"a small, white bird",False,,,"Describes whole bird size/color, not one part."
a black mask through the eye,False,,,"Mask is a face pattern spanning unsupported regions, not just the eye."
"a short, conical beak",True,beak,beak,Directly describes the beak.
a yellowish eyebrow,False,,,Eyebrow/supercilium is not a supported coarse part.
"a small, grayish-brown bird",False,,,"Describes whole bird appearance, not one part."
a red breast (males only),True,breast,breast,Direct match to breast.
a violet ear patch,False,,,Ear patch is not a supported part group.
"a long, straight beak",True,beak,beak,Directly describes the beak.
a white ring around the neck,False,,,"Neck ring spans an unsupported neck region, not one supported part."
White wingtips,False,,,Wingtips are too specific relative to the whole wing annotation.
a yellow throat and breast,False,,,Mentions two supported parts at once.
a black band across the breast,True,breast,breast,Localized to the breast.
brownish-gray plumage,False,,,"Overall plumage coloration, not a single part."
pale belly,True,belly,belly,Direct match to belly.
"a small, sparrow-like bird",False,,,"Overall bird description, not a supported part."
"a long, thin tail",True,tail,tail,Directly describes the tail.
a white stripe over the eye,False,,,Stripe over the eye is not the eye itself and does not map cleanly to a supported part.
"a long, pointy beak",True,beak,beak,Directly describes the beak.
a black throat and upper chest,False,,,"Mentions throat plus upper chest/breast, so it spans multiple regions."
long wingspan,True,wing,left wing|right wing,Primarily describes the wings.
short tail,True,tail,tail,Directly describes the tail.
a brown back and white belly,False,,,Mentions two supported parts at once.
a black bib with white stripes,False,,,Bib is not a clean supported part mapping; it spans throat/upper breast ambiguously.
long tail with white stripes,True,tail,tail,Primarily localized to the tail.
iridescent green feathers,False,,,Too general; feathers are not one supported part.
a black or dark gray plumage,False,,,"Overall plumage coloration, not a single part."
a light stripe above the eye,False,,,Stripe above the eye is not the eye itself and does not map cleanly to a supported part.
a yellowish bill,True,beak,beak,Bill maps to beak.
a big head,False,,,Head is not a supported coarse part group.
"a small, round head",False,,,Head is not a supported coarse part group.
a black tail with white bars,True,tail,tail,Primarily describes the tail.
black mask,False,,,"Mask is a facial region pattern, not one supported part."
a trackpad or mouse,False,,,Not a bird part concept.
red skin around the face,False,,,Face is an unsupported vague region.
a black back,True,back,back,Direct match to back.
a brown or grayish body,False,,,"Body is a vague whole-bird region, not one supported part."
all black coloration,False,,,"Global coloration, not localized to one part."
a dark blue or black back,True,back,back,Direct match to back.
a black back and tail,False,,,Mentions two supported parts at once.
a black band on the tail,True,tail,tail,Directly describes the tail.
a rust-colored cap and nape,False,,,"Refers to two supported parts, not one single part group."
"a large, brown bird",False,,,"Describes the whole bird, not a single supported part."
a dark line through the eye,True,eye,left eye|right eye,Primarily localized to the eye region.
black and white wings,True,wing,left wing|right wing,Directly describes the wings.
a gray plumage,False,,,"Plumage is a whole-bird trait, not one supported part."
short legs,True,leg,left leg|right leg,Directly describes the legs.
two long wings,True,wing,left wing|right wing,Directly describes the wings.
"a large, cone-shaped bill",True,beak,beak,Bill maps cleanly to beak.
"black head, neck, and back",False,,,"Covers multiple regions, not one supported part."
gray upperparts,False,,,Upperparts is a vague multi-part region.
grey upperparts,False,,,Upperparts is a vague multi-part region.
"a small, black bill",True,beak,beak,Bill maps cleanly to beak.
yellowish underparts,False,,,Underparts is a vague multi-part region.
"a long, curved neck",False,,,Neck is not a supported coarse part group.
white breast,True,breast,breast,Directly describes the breast.
webbed feet,False,,,Feet are not a supported part group.
"a swift, acrobatic flight",False,,,"Behavioral trait, not a localizable part."
a bright red breast,True,breast,breast,Directly describes the breast.
iridescent feathers,False,,,Feathers is a broad non-part-specific trait.
a black wings and tail,False,,,"Refers to two supported parts, not one single part group."
"long, tapered wings",True,wing,left wing|right wing,Directly describes the wings.
"a large, plump body",False,,,Body is a vague whole-bird region.
a small to medium size,False,,,Overall size is not a part annotation.
greenish-yellow back and wings,False,,,"Refers to two supported parts, not one single part group."
a grayish-brown back,True,back,back,Directly describes the back.
a white rump,False,,,Rump is not a supported coarse part group.
a yellow head,False,,,Head does not map cleanly to one supported part.
a red throat pouch,True,throat,throat,Primarily describes the throat region.
A short tail,True,tail,tail,Directly describes the tail.
a white underside,False,,,Underside is a vague multi-part region.
a blue back,True,back,back,Directly describes the back.
brownish plumage,False,,,"Plumage is a whole-bird trait, not one supported part."
a yellow eye,True,eye,left eye|right eye,Directly describes the eye.
a black and white striped body,False,,,Body is a vague whole-bird region.
black feathers,False,,,Feathers is not a single supported part group.
"a long, thick neck",False,,,Neck is not a supported coarse part group.
rufous (red-brown) color,False,,,Color alone is not tied to one supported part.
yellowish legs,True,leg,left leg|right leg,Directly describes the legs.
relatively long wings and tail,False,,,"Refers to two supported parts, not one single part group."
"a thin, curved bill",True,beak,beak,Bill maps cleanly to beak.
hairy body,False,,,Body is a vague whole-bird region.
